"Título","Tipo de Entrada","Texto Completo","Número de Palabras","SID Vinculado","Confidencialidad","Hash SHA-256 + Reserva"
"Capítulo 1 – Introducción al acto administrativo","Capítulo","Durante más de dos décadas, el funcionamiento de ciertas entidades quedó normalizado dentro de una lógica institucional que jamás fue cuestionada por sus actores internos...","57","N/A","Pública","4e18a5ba18d5a3ac0c9ee86a3bc9d1a382f6dd3f84a03aeff8d4502eae6bff52"
"Texto Inicial – Jurisdicción y competencia","Texto Inicial","La competencia para conocer este juicio recae en la Suprema Corte de Justicia de la Nación en virtud de los actos reclamados, la relevancia constitucional y la afectación directa...","42","N/A","Pública","e2c7a7e2546828a10dcf1c4a5b8c5f15daec2c977992ca51118d01836c76e2a4"
"Capítulo 2 – Historial institucional","Capítulo","La cronología de eventos que condujeron a este recurso se extiende por más de dos décadas, acumulando hechos, omisiones y silencios que, al no ser corregidos, se convirtieron en patrón...","61","N/A","Pública","926f3394e3a443a03da0e7e55f720bcf58f046d1a4764ec6e0b712e224611d7a"
"Texto sin capítulo – Acuerdo interno","Sin Capítulo","Los documentos internos citados corresponden a circulares no registradas públicamente pero cuya existencia fue confirmada por vía de transparencia mediante resolución CIRC-T-008...","46","N/A","Pública","c1a1cb3dfd2aa32d642f1b1b431531fae68893b92f81d4bb9f63c1e2671a8aa4"
"Capítulo 3 – Argumentos de procedencia","Capítulo","El presente juicio cumple con los requisitos de procedencia establecidos en la Ley de Amparo. Existe afectación directa, legítimo interés jurídico y no hay medios ordinarios de defensa disponibles...","59","N/A","Pública","3a9c9a2d827fb0a9c5072be256d8c18c5d2f9e8aaee509ecff92f92e9a3c922d"
"Texto sin capítulo – Declaración de afectación","Sin Capítulo","La afectación sufrida por el promovente no es sólo institucional, sino también personal. El daño a la memoria profesional y la desarticulación de funciones internas conforman una violación acumulada...","54","N/A","Pública","f59d6a23086230cd5e4c0af71355f06b9b9e6a5104e93e9a7851f0c17eb16291"
"Capítulo 4 – Relevancia constitucional","Capítulo","La materia del juicio incide directamente en la interpretación de principios constitucionales como la legalidad, la eficiencia administrativa, y la protección del servicio público contra deformaciones...","62","N/A","Pública","e447a8c643bffb21748c72078f8e282c51f6844bc4c7a6c5c74f89b4d0a9302a"
"Texto sin capítulo – Testimonios indirectos","Sin Capítulo","Varios testimonios indirectos fueron recabados por vía documental; aunque no fueron ofrecidos como prueba plena, conforman contexto histórico y emocional...","41","N/A","Pública","7305bd7e76de8e17f1501e02547c08795e3c4cbe09bc7db739b1be4ed4c6e0e7"
"Capítulo 5 – Falta de controles internos","Capítulo","La ausencia de mecanismos efectivos de verificación y control ha sido reconocida por entes externos, sin que se haya promovido reforma alguna en el tiempo correspondiente...","48","N/A","Pública","2643aa055ea5731b88c5a4218b22d828d88e347097bf3e2f984872b2e9c4c589"
"Texto sin capítulo – Nota preliminar editorial","Sin Capítulo","Este expediente se estructura en virtud del derecho humano a la verdad institucional, conforme al principio de progresividad y al deber estatal de documentar su historia...","44","N/A","Pública","394a94f420ccf580e78523a9e8a935f2f5e88d7ca9e767c56593939c77be2c3a"
